,0
0,trim development
1,l/d & s/o
2,tkmaxx
3,marks and spencer
4,banana republic
5,jcp.
6,state
7,webpdm
8,mex.
9,photo
10,advertising
11,arabic
12,artist
13,arts
14,art
15,agency
16,basic
17,good communication skills
18,computer literate
19,creativity
20,database
21,dec
22,designing
23,economics
24,english
25,filling
26,french
27,languages
28,leadership skills
29,math
30,access
31,excel
32,ms office
33,powerpoint
34,word
35,organizing
36,paint
37,physics
38,pos
39,selling
40,time management
41,typing skills
42,printer
43,fax machine
44,banners
45,united states
46,adobe creative suite
47,dreamweaver
48,photoshop
49,branding
50,brochures
51,chinese
52,coreldraw
53,css
54,clients
55,due diligence
56,edit
57,html
58,illustrator
59,indesign
60,interpretation
61,layout
62,logos
63,logo
64,marketing materials
65,microsoft office suite
66,packaging
67,posters
68,property management
69,publicity
70,real estate
71,translation
72,typography
73,webpage design
74,web design
75,adobe: captivate
76,media encoder
77,reader  microsoft: excel
78,internet explorer
79,media player
80,outlook
81,sharepoint
82,skype
83,visio
84,word  google: chrome
85,docs
86,drive
87,forms
88,gmail
89,sheets    ibm: db2
90,sql
91,stored procedures
92,sap success factors
93,vmware
94,youtube
95,c
96,state       design
97,content analysis
98,story boarding
99,interactive design
100,test
101,"project
     scheduling"
102,problem based scenarios
103,project scheduling
104,designed
105,posttest
106,curriculum
107,knowledge center
108,state      gathered requirements
109,measured training
110,championed corporate initiatives
111,supported organizational requirements
112,state      designed
113,developed
114,authored
115,web
116,computer
117,magazine articles
118,"book
publications"
119,schedules
120,resources
121,subject matter expert
122,class manager
123,3d
124,animation
125,business management
126,chemistry
127,computer networking
128,customer service
129,database analysis
130,graphic
131,basic html
132,inventory management
133,inventory
134,materials
135,microsoft office
136,nmr
137,payroll
138,profit
139,coding
140,sales
141,scheduling
142,sql server
143,cad
144,catalog
145,color
146,fashion
147,drawing
148,hr
149,information systems
150,meetings
151,organizational
152,design process
153,quality
154,research
155,collecting samples
156,trend
157,type
158,blueprints
159,budgeting
160,budgets
161,budget
162,content
163,negotiate contracts
164,documentation
165,drafting
166,equipment operation
167,features
168,fertilizers
169,inspect
170,employee management
171,managing
172,mark
173,mechanical
174,modeling
175,personnel
176,policies
177,product design
178,product development
179,product improvement
180,progress
181,proposals
182,quality control
183,read
184,maintain records
185,renovations
186,safety
187,supervisor
188,supervising
189,upgrades
190,visual studio.net  asp
191,css3  javascript
192,asp.net
193,html5
194,css3
195,javascript
196,jquery
197,mysql
198,from 800 hours
199,xslt
200,visual basic
201,tfs
202,visual studio 2014
203,sql server 2012
204,agile development
205,and other projects
206,redesigned
207,using c#
208,angularjs
209,mvc
210,.net framework 4.5
211,visual studio 2012
212,loan officers
213,c#
214,entity framework 5
215,adobe photoshop
216,web forms
217,using html asp
218,and c#
219,created
220,an image gallery
221,maintained
222,windows nt
223,sql server 7
224,additional reports
225,state              skills    .net
226,vb.net
227,visual basic.net
228,accounting
229,adobe suite
230,adobe
231,agile
232,asp
233,auditing
234,credit
235,crystal reports 8.5
236,client
237,decision-making
238,xml
239,financial
240,forth
241,graphic design
242,graphics
243,php
244,image
245,insurance
246,legal
247,legal/ compliance
248,mentor
249,mentoring
250,microsoft access
251,sql server 2000
252,migration
253,mvc 4.0
254,developer
255,processes
256,processors
257,qa
258,sarbanes-oxley
259,scrum
260,software development
261,testing software
262,microsoft sql server
263,phone
264,upgrading
265,upgrade
266,user interface
267,video
268,vb 6
269,visual studio
270,website
271,websites
272,academic
273,backup
274,coaching
275,conferences
276,counseling
277,course development
278,crystal reports
279,curriculum design
280,curriculum development
281,data entry
282,direction
283,information mapping
284,instruction
285,instructor
286,instructional design
287,knowledge management
288,team leader
289,lesson plans
290,ms word
291,works
292,multimedia
293,needs analysis
294,order entry
295,writing prescriptions
296,project management
297,quick
298,reading
299,supply chain
300,task analysis
301,teacher
302,technical writing
303,user documentation
304,trainer
305,training materials
306,training manuals
307,training programs
308,tutoring
309,workshops
310,asset management
311,automation
312,business systems
313,controller
314,eclipse
315,eclipse 4
316,engineer
317,ejb
318,focus
319,hindi
320,java
321,java 6.0
322,jsp
323,jboss
324,logistics
325,office
326,oracle
327,plsql
328,programming
329,purchasing
330,express
331,requirement
332,servers
333,shipping
334,specification
335,struts
336,system configuration
337,system engineering
338,uml
339,vision
340,wealth management
341,pumps
342,easily shipped
343,europe
344,vehicle glider equations
345,drive cycle modeling
346,horsepower
347,rpm
348,program activities
349,running errands
350,classes
351,transportation
352,statistical processes
353,statistics simulations
354,3d modeling
355,autocad
356,broadcasting
357,cable
358,com
359,hardware
360,data analysis
361,fortran
362,frame
363,lathe
364,linux
365,director
366,maple
367,matlab
368,mechanical engineering
369,mill
370,navigation
371,speaking
372,python
373,quantitative analysis
374,simulation
375,sketching
376,solidworks
377,statistical analysis
378,statistics
379,translating
380,welding
381,wiring
382,written
383,ordered
384,hired
385,arrhythmias
386,asthma
387,including assessments
388,dressing
389,feeding
390,dementia
391,diabetes
392,cancer
393,resulting in $30
394,state    studio art
395,license number  [number]
396,assembly
397,banking
398,concept
399,in design
400,logo creation
401,mental health
402,mail
403,nursing i
404,nursing
405,pdf
406,pen
407,postscript
408,presentations
409,quarkxpress
410,sigma
411,unique
412,workflow
413,"languages
: c"
414,c++
415,c#.net
416,mathematica
417,pl/sql
418,"xhtml/css   environment:
windows"
419,unix
420,linux(red hat)
421,windows server
422,wamp
423,sql developer
424,netbeans
425,dev-c++
426,notepad++
427,faculty
428,patching
429,query optimization
430,triggers
431,cursors
432,joins
433,views
434,developing
435,dns
436,tomcat
437,cas
438,apache
439,and tomcat integrate
440,framework manager
441,staff
442,
443,specification  autocad
444,strategy  budgets
445,chipotle
446,designers
447,builders
448,furniture manufacturers
449,facility managers
450,collaboration
451,000
452,schematic
453,ada
454,change management
455,council
456,customer satisfaction
457,innovation
458,interior design
459,team lead
460,leadership
461,ms office suite
462,problem resolution
463,procurement
464,project coordination
465,retail
466,space planning
467,strategy
468,verbal communication
469,graphic designer
470,layers
471,silos
472,camera raw adjustments
473,shortcuts
474,shadowing
475,strategy for retouching
476,manipulating selections
477,cropping an image
478,adding borders
479,creating a panorama
480,correcting image distortion
481,importing smart objects
482,using smart filters
483,creating effects
484,rendering videos
485,adding transitions
486,positioning 3d elements
487,systems cabling
488,ohmmeters
489,html/css coding
490,animate
491,glasgow
492,sligo
493,cork
494,ap16
495,puerto rico
496,and campoverde.(e.g.  gluten
497,elemental impurities
498,gluten
499,ema
500,pharm eur
501,usp
502,adobe acrobat
503,power point
504,ibtn research group
505,nhs trust
506,checking
507,dream weaver
508,api
509,c language
510,clinical research
511,data management
512,data base
513,database management
514,digital video
515,editor
516,embedded c
517,embedded system
518,computer graphics
519,logic
520,access 2000
521,exchange
522,oracle 9
523,oracle8.0
524,page
525,plc
526,recording
527,risk analysis
528,risk assessment
529,system design
530,visual basics
531,visual basic 6.0
532,visual basic6.0
533,web designer
534,web designing
535,university of banglore
536,trivandrum
537,kerala
538,at caledonian university
539,dream weaver (pentasoft
540,painting
541,swimming
542,cooking
543,photographing
544,playing piano
545,game design
546,lighting
547,maya
548,painter
549,people skills
550,reality
551,rendering
552,sound
553,sound design
554,autodesk (autocad mechanical
555,inventor
556,etc.)
557,client/server
558,closing
559,communication skills
560,cnc
561,customer support
562,laser
563,lotus notes
564,mapics
565,windows operating systems
566,pdm
567,polish
568,red hat
569,revit
570,technical management
571,user training
572,cash register
573,resolve customer complaints
574,delivery
575,filing
576,2000
577,receiving
578,tables
579,telephones
580,application development
581,army
582,business strategy
583,consultant
584,consulting
585,cost analysis
586,erp
587,functional
588,government
589,itil
590,market
591,microwave
592,enterprise
593,network
594,networks
595,process design
596,recruiting
597,routers
598,sales support
599,sap
600,sdlc
601,staffing
602,strategic
603,switches
604,system integration
605,technical support
606,troubleshooting
607,pricing
608,spreadsheets
609,adobe indesign
610,adobe illustrator
611,html coding
612,promotional materials
613,sense-of-humor
614,conceptual thinker
615,attention-to-detail
616,strong design sense
617,resourceful researcher
618,friendly attitude
619,professional behavior
620,expert juggling skills
621,creative and artistic
622,quick learner
623,including advertisements
624,including web pages
625,state     determined styles
626,including catalogs
627,visual communication courses
628,civil 3d
629,civil engineering  drafting
630,office skills
631,marketing
632,problem solving
633,relationship building
634,self-starter
635,sorting
636,design software
637,detail-oriented
638,microsoft word
639,microstation
640,team player
641,kline & warren
642,inc./technician
643,invoices
644,receipt forms
645,websites brochures
646,business cards
647,like business cards
648,in social media
649,wayne marshall
650,january 2014
651,august 2013
652,mixtape cover
653,fliers
654,greek life
655,family day
656,strawberry jubilee
657,gumbo ya-ya
658,faculty and administration
659,largest
660,regulations
661,design production teams
662,budget preparation
663,contracts
664,leadership and training
665,office suite
666,marina del rey
667,atlanta
668,ga turpin ranch
669,jackson hole
670,las vegas
671,union
672,wa nordstrom home
673,bellevue
674,wa blumer residence
675,wa baruffi residence
676,seattle
677,wa wood residence
678,sun valley
679,id wood residence
680,wa luigi osteria
681,los angeles
682,ca pho restaurant
683,ca borracho cantina
684,ca caffe primo
685,glendale
686,hollywood
687,petaluma
688,ca
689,including contractors
690,consultants
691,fabricators
692,dining room design
693,non verbal communication
694,assessed
695,coached
696,guest recovery
697,professional symposiums
698,field and self-study
699,customer expectations
700,attitude
701,personality styles
702,this included
703,cash handling
704,up-selling
705,etc.
706,loan specialist
707,skills
708,e.g.  prompts
709,narratives
710,ucf   -   city
711,merchandising
712,microsoft excel
713,multitasking
714,human resources leadership
715,interpersonal skills
716,inventory control
717,staff training
718,advanced adobe cs6
719,studio designer
720,secured sponsors
721,juxtapoz
722,interiors
723,website makeovers
724,analyzed competitors
725,researched target markets
726,setup llc
727,vetted suppliers
728,sourced wine
729,lovelypackage.com)
730,102.1 kpri radio
731,world packaging news
732,cool hunting project
733,trendhunter
734,trendera
735,organized
736,analyzed
737,sales director
738,creative director
739,product designers
740,such as signage
741,goggle racks
742,window decals
743,minor in spanish
744,billings
745,cashier
746,magic
747,pick
748,mt
749,administrative
750,administrative support
751,budget management
752,data collection
753,event planning
754,finance
755,fundraising
756,grant writing
757,grant proposals
758,hiring
759,multi-tasking
760,promotion
761,proposal
762,publications
763,record-keeping
764,recruitment
765,reporting
766,written communication
767,articles
768,assistant manager
769,file management
770,machining
771,process engineering
772,trouble-shooting
773,direction. graphic
