,0
0,budget
1,hardware
2,network systems
3,database
4,dec
5,documentation
6,inspection
7,logistics
8,meetings
9,ms excel
10,microsoft office
11,outlook
12,powerpoint
13,network
14,networking
15,operating systems
16,oracle
17,personnel
18,presentations
19,progress
20,quality
21,maintain documentation
22,routers
23,safety
24,scheduling
25,shipping
26,spreadsheets
27,supervision
28,operating
29,repairs
30,gas turbine engines
31,main propulsion machinery
32,auxiliary equipments
33,prolusion control systems
34,air systems
35,automatic control valves
36,automatic electronic controls
37,blow-in doors
38,bus transfer switches
39,cannon plugs
40,console filters
41,demister pads
42,detector components
43,electrically operated valves
44,electrical controllers
45,electrical motors
46,electrical relays
47,fuel oil coalesces
48,fuel oil systems
49,halon systems
50,hydraulic systems
51,indicating relays
52,intake louver hatches
53,lever control components
54,engine components
55,fuel system components
56,fuel systems
57,generators
58,generators assembly components
59,lube oil systems
60,module components
61,power turbine components
62,jacking gears
63,seawater cooling pumps
64,main switchboards
65,frequency regulators
66,electronic enclosures
67,indicating micro switches
68,salinity cells
69,hydraulic system components
70,leadership
71,personnel management skills
72,methods
73,funding source
74,modernization projects
75,sustainment projects
76,hawaii united states
77,annual salary: 60
78,equipment and materials
79,amp meter
80,voltmeter
81,based on priority
82,navy course: a-651-0119
83,testing
84,operation
85,maintenance
86,front desk
87,food & beverage
88,security
89,health
90,fire
91,problems
92,unusual occurrences
93,rangers
94,concerts
95,blueprints
96,carpentry
97,detail-oriented
98,electrical wiring
99,engineer
100,hvac
101,materials
102,excel
103,window
104,windows xp
105,word
106,oil
107,painting
108,plumbing
109,read
110,soldering
111,fluent in spanish
112,welding
113,wiring
114,proficiency in c++
115,autocad
116,autocad inventor
117,python
118,linux
119,xcode
120,visual basic
121,ms word
122,ms powerpoint
123,arcview
124,drafting
125,gps
126,graphic
127,microsoft access
128,microstation
129,file maintenance
130,surveys
131,utilities
132,drop test
133,button cycling test
134,sturgeons
135,signal generators
136,develop
137,maintain test procedures
138,tester debugging
139,ecn
140,deviations
141,qrqc
142,workflow analysis
143,kanban
144,simulated continuous flow
145,de-bottlenecking
146,riverbed
147,hp
148,silverspring networks
149,nec
150,cisco
151,pocketfinder
152,commercial
153,visual aids
154,state            associate degree
155,physics
156,automation
157,cable modems
158,cabling
159,cad
160,cat5
161,coach
162,cpu
163,dc
164,debugging
165,dft
166,design software
167,electronics
168,email
169,features
170,functional
171,government
172,intel
173,logic analyzer
174,mac os
175,marketing
176,mcafee
177,mes
178,access
179,win 7
180,netscape
181,networking essentials
182,networks
183,os
184,optimization
185,oscilloscope
186,osi
187,pc hardware installation
188,pc software
189,pc troubleshooting
190,proposals
191,reading
192,red hat
193,rms
194,routing
195,schematics
196,servers
197,shell programming
198,script
199,scripting
200,six sigma
201,solaris
202,sql server
203,sun microsystems
204,switches
205,tcp/ip
206,tds
207,technical support
208,telecommunication
209,phone
210,test equipment
211,troubleshoot
212,troubleshooting
213,unix
214,upgrade
215,validation
216,view
217,wan
218,x-86
219,multi-meters
220,state      implemented schematics
221,state        implemented schematics
222,client server
223,computer networks
224,computer sales
225,clients
226,desktops
227,hp netservers
228,laptops
229,windows
230,migration
231,network printers
232,nics
233,protocols
234,purchasing
235,qa
236,raid
237,repairing
238,specification
239,upgrading
240,usability testing
241,vista
242,auto-cad
243,c
244,c++
245,hazop
246,iso 9001
247,logic
248,works
249,minitab
250,plc
251,pro-e
252,profit
253,project management
254,quality assurance
255,receiving
256,research
257,statistical process control
258,strategic planning
259,supply chain
260,visual basics
261,
262,r
263,catia
264,ansys
265,product          project management
266,gd&t
267,kaizen
268,apqp
269,ppap
270,8d
271,5 why
272,kpi's
273,reliability sae standards
274,vehicle ergonomics
275,dvp&r
276,qcc
277,people
278,workplace safety
279,state      designed
280,developed
281,tooling
282,equipment
283,fishbone analysis
284,5why
285,control plans
286,used benchmarking
287,customer surveys
288,head clearance
289,entrance height
290,saej1516v002
291,sub-systems
292,analyzed the jph
293,throughput
294,bottleneck
295,labor hours
296,benchmarking
297,cnc
298,cost analysis
299,ergonomics
300,lean manufacturing
301,manufacturing process
302,packaging
303,process engineering
304,product development
305,pro/engineer
306,pro/mechanical
307,solid edge
308,microsoft navision
309,microsoft project
310,china cabinets
311,procurement of material
312,optic design
313,ada
314,photo
315,architect
316,brochures
317,catalogs
318,client
319,edge
320,etl
321,forms
322,graphics
323,inspector
324,interpretation
325,lighting
326,material selection
327,mechanical
328,mentoring
329,navision
330,procurement
331,product management
332,safety codes
333,sales
334,unique
335,administrative
336,cash receipts
337,customer service
338,directing
339,instruction
340,inventory
341,machinery
342,natural gas
343,organizing
344,police
345,promotion
346,quality control
347,reconciling
348,risk management
349,supervisory
350,proactive
351,self-motivated
352,ar
353,bank reconciliations
354,billings
355,budgets
356,cash flow projections
357,government contracting
358,technical
359,peachtree (proficient)
360,jde (proficient)
361,great plains (trained)
362,labview
363,matlab
364,word.
365,evaluate
366,document
367,maintained
368,reservoir characterizations
369,minimize non-value-added time
370,processes
371,procedures
372,and line activities
373,installed upgrades
374,performed troubleshooting
375,graphs
376,diagrams
377,reports
378,designing
379,failure analysis
380,process control
381,process design
382,simulation
383,system configuration
384,systems engineering
385,cero
386,hypermesh
387,dfmea
388,ms office suite
389,fortran
390,matlab/simulink
391,key issues
392,trends
393,university of michigan-dearborn
394,engine operation
395,air flowrate
396,visvesvaraya technological university
397,common rail
398,glow plugs
399,spark plugs
400,head gaskets
401,shims
402,tappets
403,brake pads
404,brake shoes
405,brake fluid
406,engine oil
407,coolant
408,egr systems
409,vvt systems
410,engine filters
411,fuel filters
412,servicing of inter-coolers
413,suspension systems
414,sheet metal works
415,websites
416,magazine and
417,options
418,automotive powertrains
419,vehicle thermal management
420,strength of materials
421,fluid mechanics
422,heat transfer
423,thermodynamics      skills    ansys
424,automobiles
425,automotive
426,basic
427,business plan development
428,calibration
429,concept
430,dimensions
431,gateways
432,inspect
433,market
434,office
435,programming
436,requirement
437,selling
438,system engineering
439,transmission
440,visvesvaraya technological university.
441,hmi
442,scada
443,servo drives
444,vfd
445,panel testing
446,abu dhabi
447,hook up drawing
448,mto
449,material requisition
450,vendor offer evaluation
451,technical write up
452,api
453,isa
454,iec
455,control panel  wiring
456,flow
457,pressure
458,unit commitment
459,economic dispatch)
460,control system design
461,power electronics
462,apollo
463,c++ programming
464,com
465,controller
466,engineering projects
467,fat
468,drawing
469,http
470,ms office
471,philosophy
472,plc programming
473,siemens
474,siemens plc
475,system design
476,system  analysis
477,teaching
478,uh)
479,lead development
480,build teams
481,mentor
482,digital tv
483,industrial automation
484,control systems  c
485,java
486,jvm
487,embedded linux
488,lxc
489,rtos - os9
490,vxworks  dvb
491,mpeg
492,h.264
493,hls
494,mp4  json
495,rest
496,soap
497,xml
498,snmp
499,tr069  microcontrollers
500,hardware  matlab
501,scrum
502,sdlc
503,data entry
504,circuit design
505,digital signal processing
506,drafting 2
507,english
508,fast
509,french
510,leadership skills
511,mathcad
512,microprocessors
513,c#
514,multimeters
515,orcad
516,pspice
517,software design
518,solidworks
519,systems design
520,power systems analysis
521,verilog
522,ms visual studio
523,qualification documents
524,measurement
525,glass cases
526,state      took calls
527,10am-4pm
528,4pm-10pm)
529,triples
530,north bend
531,bellevue
532,attention to detail
533,interpersonal skills
534,critical thinking
535,dependable
536,electrical engineering
537,electrical systems
538,forklifts
539,logo
540,next
541,pick
542,quick
543,fast learner
544,television
545,time management
546,audio
547,cd-roms
548,ceridian
549,cost reduction
550,drivers
551,executive management
552,mac
553,managing
554,marketing and sales
555,multimedia
556,objective c
557,policies
558,printers
559,quest
560,scanners
561,scripts
562,software development
563,software testing
564,sound cards
565,sun
566,test tools
567,usb
568,video
569,automotive cnc
570,cnc programming
571,shop floor
572,amada
573,estimating
574,receptionist
575,retail sales
576,manufacturing engineer
577,cost estimating
578,problem solving
579,plasma
580,brakes
581,stamping
582,automotive stamping
583,continuous improvement
584,engineering support
585,manufacturing processes
586,outside sales
587,press brake
588,sales with
589,stamping dies
590,tool room
591,press brakes
592,laser
593,motoman
594,robotic
595,robotic welding
596,strippit
597,turret press
598,hand tools
599,inspections
600,design for manufacturing
601,collection
602,flux core
603,load calculations
604,mechanical engineer
605,mechanical/electrical engineer
606,product support
607,steel design
608,structural steel
609,structural steel design
610,compressors
611,machining
612,plating
613,powder coating
614,shear
615,sorting
616,total project management
617,lasers
618,air conditioning
