,0
0,gtc85-56-70a-71-72
1,test cell
2,operational performance
3,drawings
4,manual interpretation
5,tooling
6,equipment improvement
7,reports
8,quality deficiency reports
9,purchase orders
10,quality reports
11,repair orders
12,engineering reports
13,capital expenditures
14,manufacturing
15,t56
16,electrical circuitry
17,pressure gauges
18,engineering department
19,machine shop
20,management
21,accessories
22,starters
23,temperatures
24,city
25,spanish (native)
26,soccer
27,basketball
28,table tennis
29,tennis
30,travel
31,politics
32,knowledge transfer; speech
33,economy;        skills    c
34,cad
35,catia
36,crm
37,data acquisition
38,english
39,experiment
40,french
41,inspection
42,instruction
43,interpretation
44,maple
45,matlab
46,nastran
47,novel
48,optimization
49,quality
50,receiving
51,research
52,scheme
53,spanish
54,technical support
55,troubleshooting
56,written
57,trouble shooting
58,post flight inspections
59,inspects
60,hydraulic
61,engine changes
62,gearbox changes
63,airframe
64,state
65,usa
66,served customers
67,apple
68,cherry picker
69,hardware
70,database
71,forklift
72,fork lift
73,macintosh computers
74,access
75,ms excel
76,ms outlook
77,ms powerpoint
78,ms word
79,personnel
80,camera
81,printers
82,quickbooks
83,repairs
84,time management
85,aviation
86,calibration
87,documentation
88,maintenance
89,accountability for
90,assembly
91,avionics
92,blueprints
93,budgets
94,electrical systems
95,engines
96,hazardous waste
97,hydraulics
98,internal controls
99,quality assurance
100,scheduling
101,schematics
102,sequencing
103,technical publications
104,training
105,turbine
106,aircraft maintenance
107,audits
108,aviation maintenance
109,general aviation
110,logistics
111,quality control
112,solutions
113,testing
114,excel
115,ms office
116,operations
117,osha 30
118,outlook
119,powerpoint
120,security
121,word
122,associate
123,mail
124,including meats
125,broilers
126,including forklifts
127,academic
128,adobe
129,articulate
130,attention to detail
131,auto cad
132,basic
133,canvas
134,content
135,credit
136,delivery
137,electrical schematics
138,forms
139,html
140,inspect
141,inspector
142,instructional design
143,inventory
144,labview
145,laser
146,logic
147,materials
148,microsoft office programs
149,radar
150,multi-meters
151,navy
152,communicator
153,navigation
154,organizational
155,oscilloscopes
156,problem solver
157,radio
158,recording
159,repairing
160,servers
161,signal generators
162,fluent in spanish
163,technical manuals
164,test equipment
165,troubleshoot
166,uhf
167,upgrades
168,vhf
169,accounting
170,budgeting
171,budget
172,data entry
173,financial
174,funds
175,human resources
176,hr
177,labor relations
178,leadership development
179,math
180,medical terminology
181,office
182,power point
183,windows
184,policies
185,psychology
186,psychology i
187,public speaking
188,reading
189,read
190,reporting
191,safety
192,staffing
193,supervisor
194,tax
195,answering phones
196,training materials
197,treasury
198,typing 55 wpm
199,visio
200,budget development
201,compliance
202,strategic analysis
203,expense reporting
204,troubleshooting techniques
205,critical thinking ap/ar
206,work flow planning
207,cash flow analysis
208,revenue generation
209,cost control
210,document control
211,and/or staff development
212,classification
213,selection and recruitment
214,compensation
215,2
216,collected
217,monthly
218,quarterly
219,techniques
220,engineers
221,present expenses
222,human resources management
223,operations management
224,uh-60a+
225,ambulance
226,army
227,creative thinking
228,functional
229,government
230,leadership
231,maintenance schedule
232,weapons
233,patient care
234,relationship building
235,sound
236,spreadsheets
237,strategic
238,supervision
239,theatre
240,vision
241,state        tracked inventory
242,floor
243,including dusting
244,reading material
245,adr
246,balance
247,oral communication
248,ess
249,monitors
250,natural
251,enterprise
252,processes
253,purchasing research
254,stock control
255,unique
256,salessoftware: salesforce.com
257,tapscan
258,public relations software
259,bacon's mediasource
260,factiva
261,desktop publishing software
262,photoshop
263,illustrator
264,cash handling
265,customer service
266,databases
267,driving
268,email
269,next
270,packaging
271,payroll
272,pricing
273,sales
274,shipping
275,tables
276,phone
277,rotor blades
278,and fuel systems
279,travel agent
280,flight hours keeper
281,trainer
282,excellent communication
283,fast learner
284,high motivation
285,excellent customer service
286,manager of dts
287,digital mapping
288,manager of funds
289,personnel tracker
290,honest
291,team leader
292,enjoy challenges
293,security clearance (clearable)
294,travel arrangements coordinator
295,fully bilingual spanish/english.
296,avl
297,c programming
298,microsoft word
299,microsoft excel
300,control surfaces
301,flightgear
302,wing spars
303,fuselage molds
304,launch rockets
305,air
306,sign-out
307,assistants
308,exhibits
309,programs
310,films
311,fluid dynamics
312,gas dynamics
313,low-speed aerodynamics
314,orbital mechanics
315,vector dynamics
316,experimental aerodynamics
317,experimental aerothermodynamics
318,supersonic/hypersonic aerodynamics
319,guidance and controls
320,aerothermodynamics i
321,ii
322,& iii
323,electric circuit theory
324,electronics
325,aerospace engineering analysis
326,derivatives
327,edge
328,special 	events
329,lockheed martin
330,microsoft powerpoint
331,san
332,simulation
333,conversational spanish
334,teaching
335,approach
336,ca
337,product development
338,fast
339,hand tools
340,mentor
341,microsoft office
342,publisher
343,power tools
344,procurement
345,progress
346,project plans
347,six sigma
348,soldering
349,switches
350,technical project management
351,technician
352,transportation
353,computers
354,sql
355,customer support
356,networking
357,oracle
358,pl/sql
359,project management
360,software configuration
361,web based
362,documenting
363,subject matter expert
364,analyst
365,saas
366,crystal reports
367,linux/unix
368,microsoft project
369,ms project
370,python
371,remedy
372,scanning
373,unix
374,enterprise resource planning.
375,procedures
